Census Tract,2013-2017
36047072000,80251.8574
36047072200,68570.24418
36047072400,70698.06486
36047072600,83923.57096
36047072800,56207.89139
36047073000,105396.4203
36047073200,76526.13308
36047073400,89027.07955
36047073600,71368.61371
36047073800,63981.36654
36047074000,62074.68432
36047074200,82079.05207
36047074400,106153.5902
36047074600,83725.87114
36047074800,78383.89988
36047075000,59870.4333
36047075200,156364.2476
36047075400,111248.9462
36047075600,84392.34371
36047075800,88277.04314
36047076000,58384.62748
36047076200,49740.86552
36047076400,56162.03319
36047076600,69027.80715
36047076800,42719.46492
36047077000,50903.62577
36047077200,57822.10018
36047077400,64116.90301
36047077600,63266.99763
36047078000,85070.02606
36047078200,66268.16233
36047078400,83741.15721
36047078600,54030.13622
36047078800,37867.66691
36047079000,38079.63372
36047079200,40220.70232
36047079400,36555.1032
36047079601,58149.22204
36047079602,46242.39407
36047079801,81563.40204
36047079802,63155.91887
36047080000,73457.70968
36047080200,48007.4254
36047080400,42103.94591
36047080600,40630.36895
36047080800,10933.61496
36047081000,42568.64238
36047081400,40527.44276
36047081600,46237.29872
36047081800,61683.36097
36047082000,41907.26517
36047082200,42660.35879
36047082400,42115.15569
36047082600,45549.42566
36047112200,35667.49218
36047112400,49750.03716
36047112600,34001.31076
36047112800,38770.564
36047113000,32217.93615
36047113200,60932.3055
36047113400,19556.9955
36047114201,37439.65701
36047114202,49768.38044
36047114400,30745.37826
36047114600,41794.14826
36047115000,42134.51805
36047115200,39215.89812
36047115600,16716.84405
36047115800,54138.15777
36047116000,27972.48551
36047116200,39998.5448
36047116400,52840.88013
36047116600,41175.57204
36047116800,55512.88483
36047117000,37250.10976
36047117201,59597.32222
36047117202,51126.80236
36047117400,54532.53833
36047117601,48029.84497
36047117602,42498.32647
36047117800,46559.32522
36047118000,0
36047118201,46889.50429
36047118202,54647.69337
36061015001,152719.0299
36047118400,56120.25127
36047118600,46925.17178
36047118800,50306.45004
36061015002,209057.3624
36061015100,62769.69088
36061015200,87057.21491
36061015300,157956.0368
36061015400,94853.10963
36061015500,111921.5332
36061015601,90755.42431
36061015602,57534.7221
36061015700,142458.0019
36061015801,155697.775
36061015802,98310.81823
36061015900,114403.9907
36061016001,254768.8204
36061016002,120573.4478
36061016100,123972.0502
36061016200,33215.60686
36061016300,121576.2138
36061016400,27633.1348
36061016500,140950.7956
36061016600,41367.15743
36061016700,168914.1095
36061016800,25249.52725
36061016900,116589.8984
36061017000,31671.71398
36061017100,153022.7131
36061017200,44584.36522
36061017300,130506.3348
36061017401,20269.32627
36061017402,39085.457
36061017500,148827.1969
36061017700,83743.19535
36061017800,49275.14998
36061017900,76849.17865
36061018000,35174.26172
36061018100,97298.88052
36061018200,24315.03895
36061018300,122917.3115
36061018400,27649.43994
36061018500,118601.545
36061018600,34671.85961
36061018700,116050.8098
36061018800,31553.50172
36061018900,27034.94
36061019000,56595.13845
36061003001,73636.04714
36061003002,54350.12458
36061003100,206264.0882
36061003200,69984.71501
36061003300,197445.046
36061003400,76776.82459
36061003601,48669.82169
36061003602,87046.00513
36061003700,150555.5417
36061003800,60560.34451
36061003900,160658.6136
36061004000,91530.9375
36061004100,82452.03214
36061004200,126251.7125
36061004300,74417.67475
36061004400,100771.8752
